botan 1.10.14 3.fc24 x86_64
breeze-icon-theme 5.32.0 1.fc24 noarch
bridge-utils 1.5 13.fc24 x86_64
btrfs-progs 4.5.2 1.fc24 x86_64
bwidget 1.9.7 7.fc24 noarch
bzip2 1.0.6 21.fc24 x86_64
bzip2-libs 1.0.6 21.fc24 i686
bzip2-libs 1.0.6 21.fc24 x86_64
ca-certificates 2017.2.11 1.0.fc24 noarch
cairo 1.15.2 24.intel20163 i686
cairo 1.15.2 24.intel20163 x86_64
cairo-gobject 1.15.2 24.intel20163 x86_64
cairomm 1.12.0 2.fc24 x86_64
c-ares 1.12.0 1.fc24 x86_64
cdi-api 1.2 3.fc24 noarch
cdparanoia-libs 10.2 21.fc24 i686
cdparanoia-libs 10.2 21.fc24 x86_64
checkpolicy 2.5 8.fc24 x86_64
chkconfig 1.8 1.fc24 x86_64
chrony 2.4.1 1.fc24 x86_64
cifs-utils 6.7 1.fc24 x86_64
clang 3.8.1 1.fc24 x86_64
clang-libs 3.8.1 1.fc24 x86_64
clucene09-core 0.9.21b 16.fc24 i686
clucene09-core 0.9.21b 16.fc24 x86_64
clucene-core 2.3.3.4 24.20130812.e8e3d20git.fc24 x86_64
cmake 3.6.2 6.fc24 x86_64
cmake-data 3.6.2 6.fc24 noarch
cmake-gui 3.6.2 6.fc24 x86_64
code 1.11.1 1491487117.el7 x86_64
colord 1.3.4 1.fc24 x86_64
colord-libs 1.3.4 1.fc24 x86_64
color-filesystem 1 17.fc24 noarch
compat-openssl 1.0.0t 1.fc24 x86_64
compat-wxBase3-gtk2 3.0.2 7.fc24 x86_64
compat-wxGTK3-gtk2 3.0.2 7.fc24 x86_64
compiler-rt 3.8.1 1.fc24 x86_64
comps-extras 23 4.fc24 noarch
control-center-filesystem 3.20.2 1.fc24 x86_64
copy-jdk-configs 2.2 2.fc24 noarch
coreutils 8.25 8.fc24 x86_64
coreutils-common 8.25 8.fc24 x86_64
cpanspec 1.78 24.fc24 noarch
cpio 2.12 3.fc24 x86_64
cpp 6.3.1 1.fc24 x86_64
cppzmq-devel 4.1.4 5.fc24 x86_64
cracklib 2.9.6 4.fc24 i686
cracklib 2.9.6 4.fc24 x86_64
cracklib-dicts 2.9.6 4.fc24 x86_64
crda 3.18_2016.02.08 1.fc24 x86_64
createrepo_c 0.10.0 5.fc24 x86_64
createrepo_c-libs 0.10.0 5.fc24 x86_64
cronie 1.5.1 2.fc24 x86_64
cronie-anacron 1.5.1 2.fc24 x86_64
crontabs 1.11 12.20150630git.fc24 noarch
crypto-policies 20151104 2.gitf1cba5f.fc24 noarch
cryptopp 5.6.3 4.fc24 x86_64
